project,bug_id,classname,method_name,label
Chart,10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,generateToolTipFragment,FN
Chart,12,org.jfree.chart.plot.MultiplePiePlot,MultiplePiePlot,FN
Chart,13,org.jfree.chart.block.BorderArrangement,arrangeFF,FN
Chart,15,org.jfree.chart.plot.PiePlot,getMaximumExplodePercent,FN
Chart,15,org.jfree.chart.plot.PiePlot,initialise,FN
Chart,16,org.jfree.data.category.DefaultIntervalCategoryDataset,DefaultIntervalCategoryDataset,FN
Chart,18,org.jfree.data.DefaultKeyedValues,removeValue,FN
Chart,18,org.jfree.data.DefaultKeyedValues2D,removeColumn,FN
Chart,19,org.jfree.chart.plot.CategoryPlot,getDomainAxisIndex,FN
Chart,19,org.jfree.chart.plot.CategoryPlot,getRangeAxisIndex,FN
Chart,2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,FN
Chart,21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,updateBounds,FN
Chart,22,org.jfree.data.KeyedObjects2D,equals,FN
Chart,22,org.jfree.data.KeyedObjects2D,removeObject,FN
Chart,22,org.jfree.data.KeyedObjects2D,removeRow,FN
Chart,23,org.jfree.chart.renderer.category.MinMaxCategoryRenderer,equals,FN
Chart,6,org.jfree.chart.util.ShapeList,equals,FN
Chart,7,org.jfree.data.time.TimePeriodValues,updateBounds,FN
Closure,1,com.google.javascript.jscomp.RemoveUnusedVars,removeUnreferencedFunctionArgs,FN
Closure,10,com.google.javascript.jscomp.NodeUtil,mayBeString,FN
Closure,101,com.google.javascript.jscomp.CommandLineRunner,createOptions,FN
Closure,102,com.google.javascript.jscomp.Normalize,process,FN
Closure,103,com.google.javascript.jscomp.DisambiguateProperties,getTypesToSkipForTypeNonUnion,FN
Closure,104,com.google.javascript.rhino.jstype.UnionType,meet,FN
Closure,106,com.google.javascript.rhino.JSDocInfoBuilder,recordBlockDescription,FN
Closure,107,com.google.javascript.jscomp.CommandLineRunner,createOptions,FN
Closure,108,com.google.javascript.jscomp.ScopedAliases,applyAlias,FN
Closure,108,com.google.javascript.jscomp.ScopedAliases,exitScope,FN
Closure,108,com.google.javascript.jscomp.ScopedAliases,findAliases,FN
Closure,108,com.google.javascript.jscomp.ScopedAliases,visit,FN
Closure,109,com.google.javascript.jscomp.parsing.JsDocInfoParser,parseContextTypeExpression,FN
Closure,11,com.google.javascript.jscomp.TypeCheck,visitGetProp,FN
Closure,110,com.google.javascript.jscomp.ScopedAliases,findAliases,FN
Closure,110,com.google.javascript.rhino.Node,getChildBefore,FN
Closure,111,com.google.javascript.jscomp.type.ClosureReverseAbstractInterpreter,caseTopType,FN
Closure,112,com.google.javascript.jscomp.TypeInference,apply,FN
Closure,113,com.google.javascript.jscomp.ProcessClosurePrimitives,processRequireCall,FN
Closure,114,com.google.javascript.jscomp.NameAnalyzer,recordAssignment,FN
Closure,115,com.google.javascript.jscomp.FunctionInjector,canInlineReferenceDirectly,FN
Closure,116,com.google.javascript.jscomp.FunctionInjector,canInlineReferenceDirectly,FN
Closure,118,com.google.javascript.jscomp.DisambiguateProperties,handleObjectLit,FN
Closure,119,com.google.javascript.jscomp.GlobalNamespace,collect,FN
Closure,120,com.google.javascript.jscomp.ReferenceCollectingCallback,isInitializingAssignmentAt,FN
Closure,121,com.google.javascript.jscomp.InlineVariables,inlineNonConstants,FN
Closure,125,com.google.javascript.jscomp.TypeCheck,visitNew,FN
Closure,127,com.google.javascript.jscomp.UnreachableCodeElimination,inFinally,FN
