tool,project,TP,FP,FN,precision,recall,f1_score
checkstyle,Chart,39,1990796,0,0.0,1.0,0.0
checkstyle,Closure,235,1855803,98,0.0001,0.7057,0.0003
checkstyle,Lang,78,1160966,1,0.0001,0.9873,0.0001
checkstyle,Math,140,5208254,0,0.0,1.0,0.0001
checkstyle,Time,48,785531,1,0.0001,0.9796,0.0001
pmd,Chart,18,68134,21,0.0003,0.4615,0.0005
pmd,Closure,70,300382,263,0.0002,0.2102,0.0005
pmd,Lang,34,34883,45,0.001,0.4304,0.0019
pmd,Math,57,108159,83,0.0005,0.4071,0.0011
pmd,Time,11,12556,38,0.0009,0.2245,0.0017
sonarqube,Chart,33,123612,6,0.0003,0.8462,0.0005
sonarqube,Closure,186,500346,147,0.0004,0.5586,0.0007
sonarqube,Lang,54,54880,25,0.001,0.6835,0.002
sonarqube,Math,102,153758,38,0.0007,0.7286,0.0013
sonarqube,Time,31,27619,18,0.0011,0.6327,0.0022
spotbugs,Chart,10,24652,29,0.0004,0.2564,0.0008
spotbugs,Closure,21,83075,312,0.0003,0.0631,0.0005
spotbugs,Lang,13,4967,66,0.0026,0.1646,0.0051
spotbugs,Math,6,40188,134,0.0001,0.0429,0.0003
spotbugs,Time,0,4445,49,0.0,0.0,0.0
